Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44408,Ganador,85,12.07199922,56.33599784,6.196959763,21.38514308,12.07199922,43.94207832,4.95756781,396.7054325,0,0,0,0,0,11.62
44439,Ganador,85,11.99315601,55.96806283,6.156486911,21.11215314,11.99315601,43.65508901,4.925189529,395.7577371,0,0,0,0,0,11.62
44469,Ganador,85,11.91538644,55.60513817,6.116565198,20.85473818,11.91538644,43.37200777,4.893252159,394.8229469,0,0,0,0,0,11.62
44500,Ganador,85,11.8386684,55.24712063,6.07718327,20.61113292,11.8386684,43.09275409,4.861746616,393.900796,0,0,0,0,0,7.25
44530,Ganador,85,11.76298038,54.89390983,6.038330081,20.37981233,11.76298038,42.81724967,4.830664065,392.9910259,0,0,0,0,0,7.25
44561,Ganador,85,11.68830144,54.54540811,5.999994892,20.15946637,11.68830144,42.54541832,4.799995914,392.0933851,0,0,0,0,0,7.25
44592,Ganador,85,11.61461123,54.20152046,5.962167251,19.94897289,11.61461123,42.27718596,4.7697338,391.2076288,0,0,0,0,0,7.25
44620,Ganador,85,11.54188995,53.86215444,5.924836988,19.74736907,11.54188995,42.01248046,4.73986959,390.3335189,0,0,0,0,0,7.25
44651,Ganador,85,11.4701183,53.52722006,5.887994207,19.55382391,11.4701183,41.75123165,4.710395366,389.4708237,0,0,0,0,0,7.25
44681,Ganador,85,11.39927752,53.19662976,5.851629273,19.36762073,11.39927752,41.49337121,4.681303419,388.6193175,0,0,0,0,0,7.25
44712,Ganador,85,11.32934934,52.87029824,5.815732806,19.18813401,11.32934934,41.23883263,4.652586245,379.2787808,0,0,0,0,0,7.25
44742,Ganador,85,11.26031597,52.54814247,5.780295671,19.01481883,11.26031597,40.98755112,4.624236537,378.4489996,0,0,0,0,0,7.25
44773,Ganador,85,11.19216006,52.23008157,5.745308972,18.84719561,11.19216006,40.73946362,4.596247178,377.6297656,0,0,0,0,0,7.25
44804,Ganador,85,11.12486475,51.91603674,5.710764042,18.68484284,11.12486475,40.49450866,4.568611233,376.8208759,0,0,0,0,0,7.25
44834,Ganador,85,11.05841357,51.60593123,5.676652436,18.52738783,11.05841357,40.25262636,4.541321948,376.0221327,0,0,0,0,0,7.25
44865,Ganador,85,10.9927905,51.29969023,5.642965925,18.37449691,10.9927905,40.01375838,4.51437274,375.2333434,0,0,0,0,0,7.25
44895,Ganador,85,10.92797992,50.99724083,5.609696491,18.2258725,10.92797992,39.77784785,4.487757193,374.4543202,0,0,0,0,0,7.25
44926,Ganador,85,10.86396659,50.69851195,5.576836314,18.08124668,10.86396659,39.54483932,4.461469052,373.68488,0,0,0,0,0,7.25
44957,Ganador,85,10.80073567,50.4034343,5.544377773,17.94037889,10.80073567,39.31467875,4.435502218,372.9248443,0,0,0,0,0,7.25
44985,Ganador,85,10.73827268,50.11194031,5.512313434,17.8030513,10.73827268,39.08731344,4.409850747,372.1740391,0,0,0,0,0,7.25
45016,Ganador,85,10.67656349,49.82396408,5.480636049,17.66906624,10.67656349,38.86269198,4.384508839,371.4322946,0,0,0,0,0,7.25
45046,Ganador,85,10.61559433,49.53944132,5.449338546,17.53824466,10.61559433,38.64076423,4.359470837,370.6994453,0,0,0,0,0,7.25
45077,Ganador,85,10.55535176,49.25830933,5.418414026,17.41042147,10.55535176,38.42148128,4.334731221,358.0753296,0,0,0,0,0,7.25
45107,Ganador,85,10.49582267,48.9805069,5.387855759,17.28545061,10.49582267,38.20479538,4.310284607,357.3597899,0,0,0,0,0,7.25
45138,Ganador,85,10.43699426,48.70597431,5.357657174,17.1631624,10.43699426,37.99065996,4.28612574,356.6526724,0,0,0,0,0,5.5
45169,Ganador,85,10.37885405,48.43465329,5.327811862,17.0434107,10.37885405,37.77902957,4.262249489,355.953827,0,0,0,0,0,5.5
45199,Ganador,85,10.32138983,48.16648692,5.298313562,16.92607831,10.32138983,37.5698598,4.238650849,355.2631071,0,0,0,0,0,5.5
45230,Ganador,85,10.2645897,47.90141966,5.269156163,16.81105785,10.2645897,37.36310734,4.21532493,354.5803696,0,0,0,0,0,5.5
45260,Ganador,85,10.20844205,47.63939726,5.240333698,16.69824901,10.20844205,37.15872986,4.192266959,353.9054747,0,0,0,0,0,5.5
45291,Ganador,85,10.15293551,47.38036673,5.21184034,16.58755902,10.15293551,36.95668605,4.169472272,353.2382861,0,0,0,0,0,5.5
45322,Ganador,85,10.098059,47.12427633,5.183670397,16.47890198,10.098059,36.75693554,4.146936317,352.5786704,0,0,0,0,0,5.5
45351,Ganador,85,10.04380168,46.87107551,5.155818306,16.37219707,10.04380168,36.5594389,4.124654645,351.9264975,0,0,0,0,0,5.5
45382,Ganador,85,9.990152975,46.62071488,5.128278637,16.26736859,9.990152975,36.36415761,4.102622909,351.28164,0,0,0,0,0,5.5
45412,Ganador,85,9.93710254,46.37314617,5.101046079,16.16434678,9.93710254,36.17105401,4.080836863,350.6439738,0,0,0,0,0,5.5
45443,Ganador,85,9.884640267,46.12832222,5.074115444,16.06306533,9.884640267,35.98009133,4.059292355,336.4133773,0,0,0,0,0,5.5
45473,Ganador,85,9.832756276,45.88619692,5.047481661,15.96346259,9.832756276,35.7912336,4.037985329,335.7897317,0,0,0,0,0,5.5
45504,Ganador,85,9.781440911,45.6467252,5.021139772,15.86547965,9.781440911,35.60444566,4.016911818,335.172921,0,0,0,0,0,2.5
45535,Ganador,85,9.730684729,45.40986301,4.995084931,15.76906203,9.730684729,35.41969315,3.996067945,334.5628317,0,0,0,0,0,2.5
45565,Ganador,85,9.680511534,45.17572143,4.969329357,15.67421096,9.680511534,35.23706271,3.975463485,333.9597498,0,0,0,0,0,2.5
45596,Ganador,85,9.630724539,44.94338211,4.943772032,15.58057379,9.630724539,35.05583805,3.955017626,333.3613102,0,0,0,0,0,2.5
45626,Ganador,85,9.581193599,44.71223772,4.918346149,15.48790903,9.581193599,34.87554542,3.934676919,332.7659483,0,0,0,0,0,2.5
45657,Ganador,85,9.531917397,44.48228211,4.893051032,15.39618522,9.531917397,34.69618004,3.914440825,332.1736483,0,0,0,0,0,2.5
45688,Ganador,85,9.482894624,44.25350916,4.867886008,15.30537396,9.482894624,34.51773714,3.894308806,331.5843946,0,0,0,0,0,2.5
45716,Ganador,85,9.434123975,44.02591279,4.842850407,15.21544669,9.434123975,34.34021198,3.874280326,330.9981714,0,0,0,0,0,2.5
45747,Ganador,85,9.385604154,43.79948696,4.817943566,15.1263787,9.385604154,34.16359983,3.854354852,330.4149631,0,0,0,0,0,2.5
45777,Ganador,85,9.337333872,43.57422564,4.79316482,15.03814531,9.337333872,33.987896,3.834531856,329.8347543,0,0,0,0,0,2.5
45808,Ganador,85,9.289311844,43.35012283,4.768513512,14.95072327,9.289311844,33.81309581,3.814810809,313.9575295,0,0,0,0,0,2.5
45838,Ganador,85,9.241536794,43.1271726,4.743988986,14.8640912,9.241536794,33.63919463,3.795191189,313.3832734,0,0,0,0,0,2.5
45869,Ganador,85,9.194007451,42.90536899,4.719590589,14.77822855,9.194007451,33.46618782,3.775672472,312.8119707,0,0,0,0,0,2.5
45900,Ganador,85,9.146722553,42.68470613,4.695317674,14.69311596,9.146722553,33.29407078,3.75625414,312.2436062,0,0,0,0,0,2.5
45930,Ganador,85,9.099680842,42.46517814,4.671169595,14.60873452,9.099680842,33.12283895,3.736935676,311.6781649,0,0,0,0,0,2.5
45961,Ganador,85,9.052881066,42.24677918,4.64714571,14.52506745,9.052881066,32.95248776,3.717716568,311.1156315,0,0,0,0,0,2.5
45991,Ganador,85,9.006321983,42.02950346,4.62324538,14.44209742,9.006321983,32.7830127,3.698596304,310.5559914,0,0,0,0,0,2.5
46022,Ganador,85,8.960002353,41.81334518,4.59946797,14.35980888,8.960002353,32.61440924,3.679574376,309.9992294,0,0,0,0,0,2.5
46053,Ganador,85,8.913920946,41.59829861,4.575812847,14.27818729,8.913920946,32.44667292,3.660650278,309.4453309,0,0,0,0,0,2.5
46081,Ganador,85,8.868076536,41.38435803,4.552279383,14.1972177,8.868076536,32.27979926,3.641823506,308.8942811,0,0,0,0,0,2.5
46112,Ganador,85,8.822467905,41.17151774,4.528866952,14.11688683,8.822467905,32.11378384,3.623093561,308.3460653,0,0,0,0,0,2.5
46142,Ganador,85,8.777093839,40.9597721,4.505574931,14.03718157,8.777093839,31.94862224,3.604459945,307.800669,0,0,0,0,0,2.5
46173,Ganador,85,8.731953133,40.74911546,4.482402701,13.9580894,8.731953133,31.78431006,3.585922161,298.7580777,0,0,0,0,0,2.5
46203,Ganador,85,8.687044586,40.53954224,4.459349646,13.87959849,8.687044586,31.62084295,3.567479717,298.218277,0,0,0,0,0,2.5
46234,Ganador,85,8.642367004,40.33104685,4.436415154,13.80169761,8.642367004,31.45821655,3.549132123,297.6812525,0,0,0,0,0,2.5
46265,Ganador,85,8.5979192,40.12362376,4.413598614,13.72437586,8.5979192,31.29642654,3.530878891,297.1469899,0,0,0,0,0,2.5
46295,Ganador,85,8.553699991,39.91726745,4.39089942,13.64762267,8.553699991,31.13546861,3.512719536,296.615475,0,0,0,0,0,2.5
