Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44135,Munson,10,15.32984094,117.2878867,11.72878796,18.47664575,10.67875018,60.69282764,7.244501648,86.53665137,0,0,0,0,0,0
44165,Munson,10,14.76884204,114.0704814,11.40704755,17.55721838,10.2827019,59.00051855,7.042502075,84.24092139,0,0,0,0,0,0
44196,Munson,10,14.26010181,111.1064395,11.11064349,16.72789075,9.923807068,57.44309033,6.856602051,82.15293945,0,0,0,0,0,0
44227,Munson,10,40.8880855,121.367573,15.53504934,73.160279,28.71633974,62.32765835,9.522740616,161.2437186,0,0,0,0,0,0
44255,Munson,10,40,85.231,10.909568,59.96571,28.09012689,43.87256525,6.703076438,136.1894964,0,0,0,0,0,0
44286,Munson,10,43.971,123.9780634,15.86919211,54.3602825,30.87529781,64.04731838,9.785479109,132.4804522,0,0,0,0,0,0
44316,Munson,10,35.88378,229.7286,29.4052608,64.068,25.25760283,119.8073612,18.30478619,146.0292647,0,0,0,0,0,0
44347,Munson,10,32.863844,221.59451,28.36409728,55.664623,23.1150374,115.4143818,17.63360379,135.2538328,0,0,0,0,0,0
44377,Munson,10,28.80552,202.8642,25.9666176,46.429635,20.246979,105.5482229,16.12620151,116.846614,0,0,0,0,0,0
44408,Munson,10,27.21544267,206.8167613,20.68167613,37.27303632,19.12481907,114.1998015,12.84747773,140.1852516,0,0,0,0,0,0
44439,Munson,10,25.23293327,197.9041064,19.79041064,33.7541456,17.72195287,109.1971518,12.28467958,133.5490045,0,0,0,0,0,0
44469,Munson,15,22.94459111,184.9210538,18.49210538,30.00727008,16.10782283,101.9811581,11.47288045,124.1382227,0,0,0,0,0,0
44500,Munson,15,59.41613904,233.1741055,23.31740912,83.17764362,38.85447287,117.687125,14.12245447,123.9687385,0,0,0,0,0,0
44530,Munson,15,53.40174072,227.0061621,22.70061487,73.09718036,34.99766794,114.5442703,13.74531232,116.3474704,0,0,0,0,0,0
44561,Munson,15,48.81151239,222.3624531,22.2362442,65.3620351,32.04522174,112.1493635,13.45792331,116.9361593,0,0,0,0,0,0
44592,Munson,15,45.15872083,218.8655088,21.88654962,59.18167621,29.68956201,110.3191172,13.23829379,114.0184154,0,0,0,0,0,0
44620,Munson,15,42.16175751,216.2928887,21.6292876,54.09710541,27.75239969,108.944647,13.07335748,100.6289869,0,0,0,0,0,0
44651,Munson,15,39.64491321,214.5062168,21.45062036,49.82071808,26.12227899,107.9576206,12.95491418,109.0649337,0,0,0,0,0,0
44681,Munson,15,37.49212817,213.417252,21.34172369,46.20290796,24.72544843,107.3140044,12.87768005,103.5683136,0,0,0,0,0,0
44712,Munson,15,35.62324011,212.9701289,21.29701172,43.10471729,23.51088022,106.9855244,12.8382627,105.234972,0,0,0,0,0,0
44742,Munson,15,33.98085498,213.1312725,21.31312573,40.38808264,22.44197519,106.9547773,12.83457306,96.32320185,0,0,0,0,0,0
44773,Munson,15,32.52264746,213.8834697,21.38834558,38.02729987,21.49170499,107.2123599,12.86548279,98.11448765,0,0,0,0,0,0
44804,Munson,15,31.21662122,215.2222021,21.52221875,35.96193591,20.63960278,107.7550649,12.93060712,96.87852462,0,0,0,0,0,0
44834,Munson,15,30.03807776,217.1533271,21.71533167,34.10493799,19.86984958,108.5847466,13.03016919,92.64381323,0,0,0,0,0,0
44865,Munson,15,28.96760266,219.6917197,21.96917084,32.42470868,19.16999362,109.7076514,13.16491797,94.66489472,0,0,0,0,0,0
44895,Munson,15,27.98969446,222.8603418,22.28603253,30.95031287,18.53007965,111.1339463,13.33607318,90.74643361,0,0,0,0,0,0
44926,Munson,15,27.09180035,226.6897964,22.66897821,29.65426855,17.9420365,112.877481,13.54529736,93.03083106,0,0,0,0,0,0
44957,Munson,15,26.26363678,231.2181602,23.12181482,28.46395984,17.39924506,114.955709,13.79468475,71.43394206,0,0,0,0,0,0
44985,Munson,15,25.49668225,236.4909858,23.64909717,27.36632947,16.89621378,117.3896597,14.08675858,63.92428039,0,0,0,0,0,0
45016,Munson,15,24.78381088,242.5615664,24.25615533,26.35047687,16.42834628,120.2040571,14.42448648,70.14747668,0,0,0,0,0,0
45046,Munson,15,24.11900586,249.4912393,24.94912286,25.40721301,15.99175635,123.4274712,14.81129666,67.33072809,0,0,0,0,0,0
45077,Munson,15,23.49714874,257.3498594,25.7349845,24.63976282,15.58313797,127.092498,15.25110007,69.05187537,0,0,0,0,0,0
45107,Munson,15,22.91385818,259.3218682,25.93218536,24.02787903,15.19965521,127.9911956,15.35894351,66.34218534,0,0,0,0,0,0
45138,Munson,15,22.3653515,254.9103911,25.49103723,23.45181763,14.83886005,125.889498,15.10673929,62.40767905,0,0,0,0,0,0
45169,Munson,15,21.84834705,250.8056772,25.08056604,22.90824835,14.49862531,123.9359705,14.87231522,61.99495079,0,0,0,0,0,0
45199,Munson,15,21.35998129,246.9815928,24.69815796,22.39426184,14.17709467,122.1181448,14.65417642,59.61273916,0,0,0,0,0,0
45230,Munson,15,20.89774307,243.415291,24.34152771,21.90730371,13.87263895,120.4251265,14.45101471,61.22112008,0,0,0,0,0,0
45260,Munson,15,20.45941855,240.08679,24.00867767,21.44511951,13.58381979,118.8473896,14.26168658,58.89458409,0,0,0,0,0,0
45291,Munson,15,20.04304828,236.9785288,23.69785156,21.00571149,13.30936462,117.3765652,14.08518726,60.50869451,0,0,0,0,0,0
45322,Munson,15,19.64688998,233.307395,23.33073798,20.58730121,13.04814041,115.5980024,13.87175943,60.17309965,0,0,0,0,0,0
45351,Munson,15,19.26938895,229.0694233,22.90694086,20.18829974,12.7991347,113.5103298,13.62123959,55.98883206,0,0,0,0,0,0
45382,Munson,15,18.9091535,225.0208687,22.50208569,19.80728314,12.56144257,111.5154509,13.38185394,59.53904032,0,0,0,0,0,0
45412,Munson,15,18.56493167,221.1480869,22.11480737,19.44296899,12.33424817,109.6066992,13.15280405,57.32819765,0,0,0,0,0,0
45443,Munson,15,18.23559583,217.4387939,21.74387775,19.09420056,12.11681647,107.7781018,12.93337192,58.94979291,0,0,0,0,0,0
45473,Munson,15,17.92012616,213.8818848,21.38818701,18.75993069,11.90848276,106.0242322,12.72290778,56.77782759,0,0,0,0,0,0
45504,Munson,15,17.61759695,210.4672939,21.04672815,18.43920773,11.70864273,104.3401777,12.52082138,58.40048597,0,0,0,0,0,0
45535,Munson,15,17.32716785,207.1858384,20.71858264,18.13116656,11.51674753,102.7214629,12.32657483,58.13948655,0,0,0,0,0,0
45565,Munson,15,17.04807211,204.0291807,20.40291675,17.83501721,11.3322973,101.1640046,12.13967999,56.01963915,0,0,0,0,0,0
45596,Munson,15,16.77960886,200.9896807,20.09896674,17.55003635,11.15483359,99.66406909,11.95968823,57.6424799,0,0,0,0,0,0
45626,Munson,15,16.52113641,198.0603364,19.80603223,17.27556128,10.98393707,98.21824561,11.78618906,55.55385173,0,0,0,0,0,0
45657,Munson,15,16.27206671,195.2347417,19.52347314,17.01098383,10.8192233,96.82339136,11.61880728,57.17608684,0,0,0,0,0,0
45688,Munson,15,16.03185748,192.5069746,19.25069611,16.75574255,10.66033737,95.47661475,11.45719348,56.95345424,0,0,0,0,0,0
45716,Munson,15,15.80000961,189.8716006,18.98715851,16.50932013,10.5069528,94.17525464,11.30103009,51.24670564,0,0,0,0,0,0
45747,Munson,15,15.57606299,187.3235894,18.73235779,16.27123907,10.35876831,92.91684888,11.1500217,56.52769409,0,0,0,0,0,0
45777,Munson,15,15.35959085,184.8582832,18.48582727,16.04471439,10.21550438,91.69911694,11.00389365,54.51347085,0,0,0,0,0,0
45808,Munson,15,15.1501987,182.4713755,18.2471366,15.82912985,10.07690271,90.51994727,10.86239355,56.14546858,0,0,0,0,0,0
45838,Munson,15,14.94752017,180.158855,18.0158844,15.6203862,9.942723267,89.37737988,10.72528537,54.1600364,0,0,0,0,0,0
45869,Munson,15,14.75121466,177.9170117,17.79170032,15.41813879,9.812742249,88.2695918,10.5923508,55.79007911,0,0,0,0,0,0
45900,Munson,15,14.56096478,175.7423638,17.5742356,15.22206628,9.686751953,87.19487817,10.46338535,55.61938698,0,0,0,0,0,0
45930,Munson,15,14.3764758,173.6316978,17.3631687,15.03187027,9.564559113,86.15165894,10.33819901,53.66429061,0,0,0,0,0,0
