Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44316,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,11.62
44347,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,11.62
44377,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,11.62
44408,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,7.25
44439,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,7.25
44469,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,7.25
44500,LeasingI,0,0,0,0,0,0,0,0,0,833.3333333,0,0,0,833.3333333,7.25
44530,LeasingI,0,0,0,0,0,0,0,0,0,815.0526,0,0,0,815.0526,7.25
44561,LeasingI,0,0,0,0,0,0,0,0,0,226.625,0,0,0,226.625,7.25
44592,LeasingI,0,0,0,0,0,0,0,0,0,1894,0,0,0,1894,7.25
44620,LeasingI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44651,LeasingI,0,0,0,0,0,0,0,0,0,90.625,0,0,0,90.625,7.25
44681,LeasingI,0,0,0,0,0,0,0,0,0,200,0,0,0,200,7.25
44712,LeasingI,0,0,0,0,0,0,0,0,0,400,0,0,0,400,7.25
44742,LeasingI,0,0,0,0,0,0,0,0,0,556.875,0,0,0,556.875,7.25
44773,LeasingI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44804,LeasingI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44834,LeasingI,0,0,0,0,0,0,0,0,0,1214.3125,0,0,0,1214.3125,7.25
44865,LeasingI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44895,LeasingI,0,0,0,0,0,0,0,0,0,174,0,0,0,174,7.25
44926,LeasingI,0,0,0,0,0,0,0,0,0,546.75,0,0,0,546.75,7.25
44957,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,7.25
44985,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,7.25
45016,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,7.25
45046,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,5.5
45077,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,5.5
45107,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,5.5
45138,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,5.5
45169,LeasingI,0,0,0,0,0,0,0,0,0,500,0,0,0,500,5.5
