Date,SUB-ASSET,Oil Revenue - TOTAL,Gas Revenue - TOTAL,NGL Revenue - TOTAL,Company Revenue - TOTAL,Hedges,Revenue net of Hedges,Sev Taxes,Ad Val Taxes,Production Taxes - TOTAL,Operating Expenses,Midstream / Marketing Expenses,SG&A,EBITDAX,Interest Exp,TTM EBITDAX,1L Debt,2L Debt,BS Cash,Net Debt,Net Leverage ,Mezz Pref,Pref Equity - Class A,Common Equity - Class B,Borrowing Base
43131,Ganador,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,
43159,Ganador,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,
43190,Ganador,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,
43220,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43251,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43281,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43312,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43343,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43373,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43404,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43434,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43465,Ganador,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
43496,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,312.5,0,0,0,0,0,0,0,0,0
43524,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,625,0,0,0,0,0,0,0,0,0
43555,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,937.5,0,0,0,0,0,0,0,0,0
43585,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,1250,0,0,0,0,0,0,0,0,0
43616,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,1562.5,0,0,0,0,0,0,0,0,0
43646,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,1875,0,0,0,0,0,0,0,0,0
43677,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,2187.5,0,0,0,0,0,0,0,0,0
43708,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,2500,0,0,0,0,0,0,0,0,0
43738,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,2812.5,0,0,0,0,0,0,0,0,0
43769,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3125,0,0,0,0,0,0,0,0,0
43799,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3437.5,0,0,0,0,0,0,0,0,0
43830,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
43861,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
43890,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
43921,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
43951,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
43982,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44012,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44043,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44074,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44104,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44135,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44165,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44196,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44227,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44255,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44286,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44316,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44347,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44377,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44408,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44439,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
44469,Ganador,0,0,0,0,0,0,0,0,0,0,,0,312.5,0,3750,0,0,0,0,0,0,0,0,0
