Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44408,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.525
44439,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.525
44469,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.525
44500,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44530,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44561,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44592,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44620,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44651,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44681,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44712,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44742,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44773,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44804,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44834,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44865,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44895,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44926,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44957,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44985,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45016,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45046,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45077,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45107,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45138,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45169,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45199,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45230,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45260,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45291,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45322,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45351,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45382,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45412,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45443,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45473,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45504,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45535,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45565,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45596,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45626,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45657,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45688,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45716,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45747,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45777,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45808,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45838,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45869,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45900,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45930,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45961,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45991,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46022,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46053,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46081,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46112,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46142,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46173,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46203,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46234,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46265,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46295,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46326,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46356,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46387,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46418,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46446,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46477,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46507,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46538,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46568,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46599,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46630,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46660,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46691,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46721,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46752,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46783,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46812,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46843,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46873,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46904,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46934,MunsonLeasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
