Severance Taxes - NGL,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
Ad Valorem Taxes,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537,0.01805537
MARKETING / MIDSTREAM EXPENSES,, ,, , , , , , , , , , , 
Nitrogen Fee $/mcf,0.050905,0.06,0.06,0.050905,0.06,0.06,0,0.1,0.06,0.05,0.050905,0.050905,0.06,0.050905
Electricity Fee $/mcf,0.08,0.06,0.06,0.08,0.06,0.06,0,0,0.06,0.08,0.08,0.08,0.06,0.08
Gathering Fee $/mmbtu,0.070906,0.25,0.25,0.070906,0.25,0.25,0,0,0.25,0.05,0.070906,0.070906,0.25,0.070906
Processing Fee $/mmbtu,0.356342,0.2,0.2,0.356342,0.2,0.2,0,0,0.2,0.35,0.356342,0.356342,0.2,0.356342
Sold Gas Compr Fee $/mcf,0.198531,0,0,0.198531,0,0,0.593333333,0.253850823,0,0.195,0.198531,0.198531,0,0.198531
Reinj. Gas Compr Fee $/mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPSTREAM OPEX, , , , , , , , , , , , , , 
Variable Opex - Oil ($/Bbl),0.12,0,0,0.12,0,0,0,0.23,0,0.12,0.12,0.12,0,0
Variable Opex - Water ($/Bbl),0.5,1.47,1.47,0.5,1.47,1.47,1.47,0.28,1.47,0.12,0.5,0.5,1.47,1.47
Fixed Opex - Dev Program ($/W/Mo),0,10000,10000,0,10000,10000,10000,0,0,0,0,0,10000,10000
GENERIC WELL ASSUMPTIONS, , , , , , , , , , , , , , 
WELL RANKING,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rig Crew #,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1,Rig Crew 1
CAPEX SCENARIO,North - Farmar - 10K,GENERIC - MUNSON 10K - RISKED,GENERIC - MUNSON,GENERIC - GANADOR,GENERIC - DISCOVERY,GENERIC - MUNSON,GENERIC - MUNSON,GENERIC - TRACKER (TCR FRAC),AM - MED B3 Risk90_8750,GENERIC - ESTE,B1 - FARMAR 10K,B3 - FARMAR 10K,GENERIC - MUNSON 10K,GENERIC - MUNSON 10K - RISKED
TARGET,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC
FRAC SIZE,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
WELLS ON PAD,4,4,4,4,4,4,4,4,4,4,4,4,4,4
TYPE CURVE AREA,NEW B3 LGOR_10k,NORTHWEST,MUNSON-10k,GANADOR,DISCOVERY,MUNSON,MUNSON,TRACKER,MUNSON,ESTE,NORTHWEST,NEW B3 LGOR,NORTHWEST,NORTHWEST
High Pressure Gas Trunkline,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC,GENERIC
WI %,100,100,100,100,100,100,100,100,100,100,100,100,100,100
NRI %,75,75,75,75,75,75,75,75,75,75,75,75,75,75
RESCAT,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev,Dev
BASE LL FOR CAPEX,10000,10000,10000,10000,10000,7500,7500,10000,8750,8500,10000,10000,10000,10000
COMPLETION DESIGN,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180,50-2050-10-18-180
CURRENT STATUS,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE,FUTURE
Hedging: Include in BVTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANK BATTERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPITAL STRUCTURE, ,reversionary WI ,reversionary WI , , , , , , , , , ,reversionary WI ,reversionary WI 
Acquisition Consideration,509000,4000,0,25000,31500,5700,193000,0,0,244700,0,0,0,0
