Date,central_compr_demand_curve,sg_and_a
44135,22.8,512.5
44165,22.8,512.5
44196,22.8,512.5
44227,22.8,512.5
44255,22.8,512.5
44286,22.8,512.5
44316,22.8,512.5
44347,22.8,512.5
44377,22.8,512.5
44408,22.8,512.5
44439,22.8,512.5
44469,22.8,512.5
44500,22.8,512.5
44530,22.8,512.5
44561,9.12,512.5
44592,9.12,583
44620,9.12,583
44651,9.12,583
44681,9.12,583
44712,9.12,583
44742,9.12,583
44773,9.12,583
44804,9.12,583
44834,9.12,583
44865,9.12,583
44895,9.12,583
44926,9.12,583
44957,9.12,598
44985,9.12,598
45016,9.12,598
45046,9.12,598
45077,9.12,598
45107,9.12,598
45138,9.12,598
45169,9.12,598
45199,9.12,598
45230,0,598
45260,0,598
45291,0,598
45322,0,613
45351,0,613
45382,0,613
45412,0,613
45443,0,613
45473,0,613
45504,0,613
45535,0,613
45565,0,613
45596,0,613
45626,0,613
45657,0,613
45688,0,628
45716,0,628
45747,0,628
45777,0,628
45808,0,628
45838,0,628
45869,0,628
45900,0,628
45930,0,628
45961,0,628
45991,0,628
46022,0,628
46053,0,634
46081,0,634
46112,0,634
46142,0,634
46173,0,634
46203,0,634
46234,0,634
46265,0,634
46295,0,634
46326,0,634
46356,0,634
46387,0,634
46418,0,640
46446,0,640
46477,0,640
46507,0,640
46538,0,640
46568,0,640
46599,0,640
46630,0,640
46660,0,640
46691,0,640
46721,0,640
46752,0,640
46783,0,646
46812,0,646
46843,0,646
46873,0,646
46904,0,646
46934,0,646
46965,0,646
46996,0,646
47026,0,646
47057,0,646
47087,0,646
47118,0,646
47149,0,652
47177,0,652
47208,0,652
47238,0,652
47269,0,652
47299,0,652
47330,0,652
47361,0,652
47391,0,652
47422,0,652
47452,0,652
47483,0,652
47514,0,659
47542,0,659
47573,0,659
47603,0,659
47634,0,659
47664,0,659
47695,0,659
47726,0,659
47756,0,659
47787,0,659
47817,0,659
47848,0,659
47879,0,659
47907,0,659
47938,0,659
47968,0,659
47999,0,659
48029,0,659
48060,0,659
48091,0,659
48121,0,659
48152,0,659
48182,0,659
48213,0,659
48244,0,659
48273,0,659
48304,0,659
48334,0,659
48365,0,659
48395,0,659
48426,0,659
48457,0,659
48487,0,659
48518,0,659
48548,0,659
48579,0,659
48610,0,659
48638,0,659
48669,0,659
48699,0,659
48730,0,659
48760,0,659
48791,0,659
48822,0,659
48852,0,659
48883,0,659
48913,0,659
48944,0,659
48975,0,659
49003,0,659
49034,0,659
49064,0,659
49095,0,659
49125,0,659
49156,0,659
49187,0,659
49217,0,659
49248,0,659
49278,0,659
49309,0,659
49340,0,659
49368,0,659
49399,0,659
49429,0,659
49460,0,659
49490,0,659
49521,0,659
49552,0,659
49582,0,659
49613,0,659
49643,0,659
49674,0,659
49705,0,659
49734,0,659
49765,0,659
49795,0,659
49826,0,659
49856,0,659
49887,0,659
49918,0,659
49948,0,659
49979,0,659
50009,0,659
50040,0,659
50071,0,659
50099,0,659
50130,0,659
50160,0,659
50191,0,659
50221,0,659
50252,0,659
50283,0,659
50313,0,659
50344,0,659
50374,0,659
50405,0,659
50436,0,659
50464,0,659
50495,0,659
50525,0,659
50556,0,659
50586,0,659
50617,0,659
50648,0,659
50678,0,659
50709,0,659
50739,0,659
50770,0,659
50801,0,659
50829,0,659
50860,0,659
50890,0,659
50921,0,659
50951,0,659
50982,0,659
51013,0,659
51043,0,659
51074,0,659
51104,0,659
51135,0,659
51166,0,659
51195,0,659
51226,0,659
51256,0,659
51287,0,659
51317,0,659
51348,0,659
51379,0,659
51409,0,659
51440,0,659
51470,0,659
51501,0,659
51532,0,659
51560,0,659
51591,0,659
51621,0,659
51652,0,659
51682,0,659
51713,0,659
51744,0,659
51774,0,659
51805,0,659
51835,0,659
51866,0,659
51897,0,659
51925,0,659
51956,0,659
51986,0,659
52017,0,659
52047,0,659
52078,0,659
52109,0,659
52139,0,659
52170,0,659
52200,0,659
52231,0,659
52262,0,659
52290,0,659
52321,0,659
52351,0,659
52382,0,659
52412,0,659
52443,0,659
52474,0,659
52504,0,659
52535,0,659
52565,0,659
52596,0,659
52627,0,659
52656,0,659
52687,0,659
52717,0,659
52748,0,659
52778,0,659
52809,0,659
52840,0,659
52870,0,659
52901,0,659
52931,0,659
52962,0,659
52993,0,659
53021,0,659
53052,0,659
53082,0,659
53113,0,659
53143,0,659
53174,0,659
53205,0,659
53235,0,659
53266,0,659
53296,0,659
53327,0,659
53358,0,659
53386,0,659
53417,0,659
53447,0,659
53478,0,659
53508,0,659
53539,0,659
53570,0,659
53600,0,659
53631,0,659
53661,0,659
53692,0,659
53723,0,659
53751,0,659
53782,0,659
53812,0,659
53843,0,659
53873,0,659
53904,0,659
53935,0,659
53965,0,659
53996,0,659
54026,0,659
54057,0,659
54088,0,659
54117,0,659
54148,0,659
