Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44500,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.525
44530,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.525
44561,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.525
44592,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44620,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44651,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44681,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44712,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44742,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44773,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44804,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44834,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44865,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44895,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44926,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44957,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
44985,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45016,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45046,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45077,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45107,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45138,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45169,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45199,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0625
45230,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45260,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45291,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45322,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45351,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45382,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45412,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45443,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45473,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45504,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45535,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45565,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875
45596,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45626,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45657,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45688,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45716,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45747,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45777,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45808,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45838,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45869,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45900,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45930,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45961,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
45991,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46022,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46053,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46081,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46112,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46142,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46173,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46203,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46234,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46265,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46295,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46326,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46356,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46387,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46418,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46446,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46477,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46507,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46538,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46568,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46599,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46630,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46660,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46691,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46721,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46752,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46783,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46812,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46843,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46873,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46904,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46934,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46965,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
46996,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47026,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47057,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47087,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47118,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47149,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47177,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47208,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47238,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47269,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47299,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47330,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47361,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47391,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47422,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47452,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47483,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47514,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47542,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47573,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47603,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47634,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47664,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47695,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47726,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47756,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47787,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47817,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47848,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47879,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47907,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47938,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47968,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
47999,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48029,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48060,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48091,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48121,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48152,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48182,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48213,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48244,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48273,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48304,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48334,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48365,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48395,Discovery,0,0,0,0,0,0,0,0,0,65,0,0,0,65,3.125
48426,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48457,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
48487,Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.125
