TRKRN Water,TRACKER Water,NORTHWEST Water,SOUTHWEST Water,LGOR Water,HGOR Water,B3 LGOR Water,B1 LGOR Water,B3 MGOR Water,B1 MGOR Water,B3 HGOR Water,B1 HGOR Water,NEW A1 LGOR Water,NEW C1 LGOR Water,NEW B1 LGOR Water,NEW B3 LGOR Water,NEW GENERIC Water,GANADOR Water,MUNSON Water,DISCOVERY Water,PDP Water,NEW B3 LGOR Risk90 Water,NEW B3 LGOR Risk80 Water,NEW B3 LGOR Risk70 Water,NEW B3 LGOR Risk90_8750 Water,NEW B3 LGOR_10k Water,ESTE Water,TRACKER-N-ORIG Water,TRACKER-S-ORIG Water,MUNSON-8750 Water,MUNSON-10k Water
5.618297119,4.485453033,5.292662238,3.678243827,3.386094045,3.374913062,3.269848923,3.738434941,3.361956533,1.867022775,3.033912053,1.119775602,4.590326148,4.590326148,4.590326148,3.195843025,3.893084587,3.195843025,3.273992969,5.292662238,0,2.876258723,2.55667442,2.237090118,3.355635177,4.261124034,14.5208345,4.830983887,4.830983887,3.58092981,2.475183688
5.227838542,4.19234819,4.938750323,3.445946056,3.163493254,3.035204139,3.042602031,3.481132732,3.126055422,1.734769337,2.819000217,1.039707501,4.291887361,4.291887361,4.291887361,3.026089179,3.65898827,3.026089179,3.069741992,4.938750323,0,2.723480261,2.420871343,2.118262425,3.177393638,4.034785571,13.69972296,4.535612793,4.535612793,3.357530304,2.320767142
4.888138428,3.936629215,4.630930202,3.242328228,2.968360798,2.745369818,2.844896565,3.256976768,2.921097217,1.620018053,2.632529321,0.970328524,4.029777636,4.029777636,4.029777636,2.875648644,3.45271314,2.875648644,2.885141602,4.630930202,0,2.58808378,2.300518915,2.012954051,3.019431076,3.834198192,12.96651758,4.275789063,4.275789063,3.155623627,2.181206709
4.589900716,3.711783696,4.361010014,3.062557378,2.795906592,2.506463107,2.671322217,3.059947886,2.741367063,1.519509381,2.469202729,0.909631709,3.797755311,3.797755311,3.797755311,2.741450736,3.269603024,2.741450736,2.717479688,4.361010014,0,2.467305662,2.193160589,1.919015515,2.878523273,3.655267648,12.30781651,4.045378418,4.045378418,2.972243408,2.054451997
4.325968831,3.509185509,4.118379521,2.899991496,2.642393672,2.343582253,2.51771386,2.885401406,2.582475806,1.430745856,2.324961882,0.856082783,3.587284408,3.587284408,3.587284408,2.618925536,3.103104972,2.618925536,2.564530078,4.118379521,0,2.357032982,2.095140429,1.833247875,2.749871813,3.491900715,11.71281127,3.839589844,3.839589844,2.804954773,1.93881999
4.090745036,3.336660424,3.912196324,2.761124524,2.504863018,2.212032152,2.380813611,2.729696277,2.440997185,1.351781912,2.196645754,0.80848902,3.406883006,3.406883006,3.406883006,2.513334354,2.96010868,2.513334354,2.424447656,3.912196324,0,2.262000919,2.010667483,1.759334048,2.639001072,3.351112472,11.17268729,3.654625244,3.654625244,2.651739624,1.832915754
3.879785563,3.181303271,3.726877132,2.63572941,2.380941965,2.094624162,2.258035198,2.589937654,2.314217048,1.281079426,2.081754038,0.765909253,3.243384382,3.243384382,3.243384382,2.417193366,2.830288874,2.417193366,2.295690625,3.726877132,0,2.175474029,1.933754692,1.692035356,2.538053034,3.222924487,10.68018447,3.487434814,3.487434814,2.510911621,1.735573668
3.68951945,3.035701185,3.553483097,2.517919274,2.268705435,1.985451832,2.14730032,2.463794316,2.199957395,1.217406125,1.978284924,0.727590582,3.089187219,3.089187219,3.089187219,2.326166712,2.707676966,2.326166712,2.199136328,3.553483097,0,2.093550041,1.86093337,1.628316699,2.442475048,3.101555617,10.22927118,3.335540039,3.335540039,2.405305359,1.662577293
3.517044271,2.903496228,3.396288788,2.410703669,2.166574807,1.887049513,2.046919766,2.349369128,2.096450627,1.159763118,1.884615155,0.692923739,2.948278379,2.948278379,2.948278379,2.242695608,2.595486993,2.242695608,2.130969141,3.396288788,0,2.018426047,1.794156486,1.569886925,2.354830388,2.99026081,9.814892681,3.196905518,3.196905518,2.330747498,1.611041962
3.359975586,2.782777599,3.252953028,2.31260217,2.073244041,1.797783935,1.955505791,2.24510147,2.002246956,1.107332557,1.799415361,0.661410461,2.818806671,2.818806671,2.818806671,2.165774675,2.492290673,2.165774675,2.067474219,3.252953028,0,1.949197208,1.73261974,1.516042273,2.274063409,2.887699567,9.432779759,3.069844482,3.069844482,2.261299927,1.563038928
