TRKRN Gas,TRACKER Gas,TRACKER-NORTH Gas,TRACKER-SOUTH Gas,LGOR Gas,HGOR Gas,B3 LGOR Gas,B1 LGOR Gas,B3 MGOR Gas,B1 MGOR Gas,B3 HGOR Gas,B1 HGOR Gas,NEW A1 LGOR Gas,NEW C1 LGOR Gas,NEW B1 LGOR Gas,NEW B3 LGOR Gas,NEW GENERIC Gas,GANADOR Gas,MUNSON Gas,DISCOVERY Gas,PDP Gas,NEW B3 LGOR Risk90 Gas,NEW B3 LGOR Risk80 Gas,NEW B3 LGOR Risk70 Gas,NEW B3 LGOR Risk90_8750 Gas,NEW B3 LGOR_10k Gas,ESTE Gas,TRACKER-N-ORIG Gas,TRACKER-S-ORIG Gas,MUNSON-8750 Gas,MUNSON-10k Gas
6.568310212,10.52678271,10.72607617,10.32748926,5.428359658,4.93815917,3.106336431,3.94694042,5.307029614,5.249474702,6.571466294,6.259489097,1.150872408,2.944863352,1.64410344,3.46454512,2.55432428,3.46454512,7.540315625,10.72607617,0,3.118090608,2.771636096,2.425181584,3.637772376,4.619393493,4.301075144,10.72607617,10.32748926,8.247220215,5.700582259
6.519906582,10.43826318,10.63629395,10.24023242,5.396280981,4.909019385,3.087507632,3.924041694,5.274225332,5.218017905,6.532528467,6.221841919,1.142667372,2.923558272,1.63238196,3.43948032,2.53593114,3.43948032,7.487500781,10.63629395,0,3.095532288,2.751584256,2.407636224,3.611454336,4.58597376,4.270370554,10.63629395,10.24023242,8.189453979,5.660653512
6.472315584,10.35129199,10.54807422,10.15450977,5.364691094,4.880323394,3.068972722,3.901485168,5.241942993,5.187047056,6.494184102,6.184777783,1.134617148,2.902754488,1.62088164,3.41500528,2.51794346,3.41500528,7.435528906,10.54807422,0,3.073504752,2.732004224,2.390503696,3.585755544,4.553340373,4.240165322,10.54807422,10.15450977,8.132609741,5.62136206
6.425516062,10.26582861,10.46137793,10.0702793,5.333576733,4.852058882,3.05072436,3.879262791,5.210169336,5.156548892,6.456419463,6.14828248,1.126721736,2.882201352,1.60960248,3.39082512,2.5002138,3.39082512,7.384379688,10.46137793,0,3.051742608,2.712660096,2.373577584,3.560366376,4.52110016,4.210447214,10.46137793,10.0702793,8.076665283,5.582692547
6.379487607,10.18183447,10.37616504,9.987503906,5.302927954,4.824215903,3.032755442,3.857366509,5.178891099,5.126512993,6.419221289,6.112341328,1.118826324,2.861397568,1.59832332,3.36635008,2.4823367,3.36635008,7.334032031,10.37616504,0,3.029715072,2.693080064,2.356445056,3.534667584,4.488466773,4.181203562,10.37616504,9.987503906,8.021597534,5.544629027
6.334210516,10.09927002,10.29239551,9.906144531,5.272732441,4.796784985,3.015059099,3.835788745,5.148097388,5.09692752,6.382574897,6.076941538,1.111240536,2.841596376,1.58748648,3.34305456,2.46527052,3.34305456,7.284467188,10.29239551,0,3.008749104,2.674443648,2.340138192,3.510207288,4.45740608,4.152423006,10.29239551,9.906144531,7.967385986,5.507157324
6.289665768,10.01809912,10.21003418,9.826164063,5.242980249,4.769755708,2.997628701,3.814521921,5.117774941,5.067782524,6.346467026,6.042070322,1.103654748,2.821795184,1.57664964,3.31975904,2.44820434,3.31975904,7.235666406,10.21003418,0,2.987783136,2.655807232,2.323831328,3.485746992,4.426345387,4.124094187,10.21003418,9.826164063,7.914010132,5.470263262
6.245834989,9.938287109,10.1290459,9.74752832,5.213660483,4.743118599,2.980458091,3.79355917,5.087912393,5.039067114,6.310885835,6.007714419,1.096223772,2.802495288,1.56603396,3.29705328,2.43154362,3.29705328,7.187610938,10.1290459,0,2.967347952,2.637642624,2.307937296,3.461905944,4.39607104,4.096206183,10.1290459,9.74752832,7.861449463,5.433932668
6.202700429,9.85979834,10.04939355,9.670203125,5.184763198,4.716865605,2.963540637,3.772893149,5.058498374,5.010769922,6.275818535,5.973861514,1.088947608,2.783696688,1.55563944,3.27493728,2.41528836,3.27493728,7.140282813,10.04939355,0,2.947443552,2.619949824,2.292456096,3.438684144,4.36658304,4.068747636,10.04939355,9.670203125,7.809684326,5.398151954
6.160244931,9.782600098,9.971045898,9.594154297,5.156278921,4.690986309,2.946870657,3.752517229,5.029522939,4.982882896,6.24125376,5.940500713,1.081671444,2.76464744,1.54524492,3.2525264,2.39888566,3.2525264,7.093665625,9.971045898,0,2.92727376,2.60202112,2.27676848,3.41515272,4.336701867,4.041708933,9.971045898,9.594154297,7.758696777,5.36290872
6.118451911,9.706660156,9.893970703,9.519349609,5.128197231,4.665473604,2.930442466,3.732425251,5.000974722,4.955395615,6.207179668,5.907619229,1.074859716,2.746600784,1.53551388,3.23129504,2.38340446,3.23129504,7.047742188,9.893970703,0,2.908165536,2.585036032,2.261906528,3.392859792,4.308393387,4.015080027,9.893970703,9.519349609,7.708468018,5.32818997
