Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44316,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62
44347,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62
44377,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62
44408,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44439,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44469,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44500,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44530,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44561,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44592,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44620,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44651,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44681,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44712,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44742,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44773,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44804,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44834,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44865,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44895,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44926,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44957,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
44985,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
45016,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25
45046,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45077,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45107,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45138,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45169,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45199,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45230,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45260,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45291,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45322,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
45351,LeasingII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5
