Date,SUB-ASSET,PDP Wells Online,PDP Wellhead Prod - Oil (MBbl),PDP Wellhead Prod - Gas (MMcf),PDP WI Prod - NGL - All Streams (MBbl),PDP Wellhead Prod - Water (MBbl),PDP NRI Prod - Oil (MBbl),PDP NRI Prod - Residue Gas - All (MMcf),PDP NRI Prod - NGL - All Streams (MBbl),PDP Opex ($k),Infrastructure / Other Capex,Capex From Prior Periods,BOP Working Capital Balance,Rig Mob / Demob,infra input,agl_opex_per_well_k
44316,Foreland I,153,19.11324639,485.9336628,48.59336324,26.06954027,5.96185365,153.4569539,17.26390647,267.3559536,0,0,0,0,0,0
44347,Foreland I,153,18.63874435,478.7389433,47.87389138,24.99385527,5.863405442,151.7521303,17.07211405,265.7785596,0,0,0,0,0,0
44377,Foreland I,153,18.19625965,471.83877,47.18387433,24.00270335,5.770398151,150.1032272,16.88661218,264.2705264,0,0,0,0,0,0
44408,Foreland I,153,17.78229482,465.2127754,46.5212743,23.08645242,5.682282406,148.5069271,16.70702848,258.0561323,0,0,0,0,0,0
44439,Foreland I,153,17.39387123,458.8425442,45.8842519,22.23689238,5.598588325,146.9601781,16.53301964,256.6703286,0,0,0,0,0,0
44469,Foreland I,153,17.02843279,452.7114614,45.27114302,21.4469812,5.51891045,145.4602367,16.3642758,255.3386931,0,0,0,0,0,0
44500,Foreland I,153,16.68377028,446.8044281,44.68044021,20.71064277,5.44289654,144.004571,16.20051347,254.0572998,0,0,0,0,0,0
44530,Foreland I,153,16.35796429,441.107697,44.11076723,20.02260238,5.370238834,142.5908554,16.04147088,252.8226399,0,0,0,0,0,0
44561,Foreland I,153,15.97757815,432.655113,43.26550848,19.28646135,5.246884118,139.4459791,15.6876721,243.5433215,0,0,0,0,0,0
44592,Foreland I,153,15.68513084,427.3627797,42.73627516,18.68246687,5.180516314,138.122149,15.53874133,242.4022097,0,0,0,0,0,0
44620,Foreland I,153,15.40707743,422.2451683,42.22451418,18.11458295,5.116776941,136.8337462,15.39379567,241.2989185,0,0,0,0,0,0
44651,Foreland I,153,15.14226356,417.2926017,41.72925767,17.57967263,5.055476691,135.579085,15.25264641,240.2311553,0,0,0,0,0,0
44681,Foreland I,153,14.88966162,412.4961541,41.24961263,17.07495487,4.996446065,134.3565962,15.1151164,239.1968123,0,0,0,0,0,0
44712,Foreland I,153,14.64835313,407.8475561,40.78475283,16.59795217,4.93953291,133.1648176,14.98104149,238.1939836,0,0,0,0,0,0
44742,Foreland I,153,14.41751426,403.3391838,40.33391564,16.14645124,4.884599693,132.0023934,14.85026864,237.2209226,0,0,0,0,0,0
44773,Foreland I,153,14.19640366,398.9639265,39.89639007,15.71846936,4.831521944,130.8680297,14.72265293,236.2760112,0,0,0,0,0,0
44804,Foreland I,153,13.98435158,394.7152271,39.47152019,15.31222313,4.780186719,129.7605491,14.59806117,235.3577847,0,0,0,0,0,0
44834,Foreland I,153,13.78075191,390.5869445,39.05869213,14.92610629,4.73049073,128.678814,14.47636627,234.4648608,0,0,0,0,0,0
44865,Foreland I,153,13.58505404,386.5733679,38.65733432,14.55866531,4.682340153,127.6217865,14.35745043,233.596002,0,0,0,0,0,0
44895,Foreland I,153,13.39675661,382.6691697,38.2669145,14.20858505,4.635648458,126.5884632,14.24120173,232.7500151,0,0,0,0,0,0
44926,Foreland I,153,13.21538914,378.8693675,37.88693424,13.87466973,4.59032683,125.5779208,14.12751559,231.9258325,0,0,0,0,0,0
44957,Foreland I,153,13.04051111,375.1692983,37.51692767,13.55583105,4.546285902,124.589278,14.01629326,231.1224465,0,0,0,0,0,0
44985,Foreland I,153,12.87174149,371.5645935,37.15645729,13.25107629,4.503460683,123.6217033,13.90744127,230.3389094,0,0,0,0,0,0
45016,Foreland I,153,12.70872896,368.0509801,36.80509568,12.95949811,4.461789884,122.6743172,13.8008604,229.5742822,0,0,0,0,0,0
45046,Foreland I,153,12.55114934,364.6243538,36.46243347,12.68026442,4.421216495,121.7462259,13.69644983,228.8276458,0,0,0,0,0,0
45077,Foreland I,153,12.29149429,358.9939556,35.89939358,12.20988649,4.301280238,119.4644449,13.43974963,220.0924246,0,0,0,0,0,0
45107,Foreland I,153,12.14463573,355.7424762,35.57424537,11.95472661,4.263293429,118.5799787,13.34024702,219.3868308,0,0,0,0,0,0
45138,Foreland I,153,12.00236657,352.5677178,35.25676938,11.70977322,4.226246693,117.7128014,13.24268974,218.697012,0,0,0,0,0,0
45169,Foreland I,153,11.86445053,349.4664958,34.94664772,11.47443083,4.190097883,116.8622347,13.14700108,218.0222876,0,0,0,0,0,0
45199,Foreland I,153,11.73066743,346.435701,34.64356808,11.2481496,4.15480703,116.0275587,13.05310001,217.3619514,0,0,0,0,0,0
45230,Foreland I,153,11.60081271,343.4724475,34.3472427,11.03042024,4.120337521,115.2081353,12.96091485,216.7153818,0,0,0,0,0,0
45260,Foreland I,153,11.4746956,340.5737883,34.0573767,10.82077073,4.086654339,114.4032167,12.87036157,216.0819006,0,0,0,0,0,0
45291,Foreland I,153,11.35213868,337.7372041,33.77371866,10.61876377,4.053725052,113.6122638,12.78137948,215.4609646,0,0,0,0,0,0
45322,Foreland I,153,11.23297546,334.9601125,33.49600941,10.42399224,4.021519125,112.8346418,12.69389675,214.8519917,0,0,0,0,0,0
45351,Foreland I,153,11.11705061,332.2403099,33.22402905,10.23607741,3.990007696,112.0698973,12.60786314,214.2545249,0,0,0,0,0,0
45382,Foreland I,153,11.00421873,329.5757799,32.95757609,10.05466661,3.959163837,111.3176388,12.52323396,213.6681682,0,0,0,0,0,0
45412,Foreland I,153,10.8943432,326.9645851,32.69645673,9.879430854,3.928961757,110.5774884,12.43996691,213.0925327,0,0,0,0,0,0
45443,Foreland I,153,10.78729488,324.4048875,32.44048698,9.710062907,3.899376878,109.8490759,12.35802074,212.5272468,0,0,0,0,0,0
45473,Foreland I,153,10.68294752,321.8947668,32.18947476,9.546275305,3.870381991,109.1319505,12.27734414,211.9718967,0,0,0,0,0,0
45504,Foreland I,153,10.58118566,319.4324842,31.94324648,9.387799128,3.84195389,108.4257426,12.19789554,211.4261211,0,0,0,0,0,0
45535,Foreland I,153,10.48190237,317.0164702,31.70164529,9.234382434,3.814072226,107.7301361,12.11963976,210.8896169,0,0,0,0,0,0
45565,Foreland I,153,10.38499759,314.6450748,31.46450556,9.085788528,3.786717983,107.044745,12.04253355,210.3620159,0,0,0,0,0,0
45596,Foreland I,153,10.29037647,312.3167928,31.23167717,8.941795906,3.75987303,106.3692457,11.96653955,209.8430256,0,0,0,0,0,0
45626,Foreland I,153,10.19795044,310.0302646,31.00302436,8.802195721,3.733520933,105.703364,11.89162786,209.3323699,0,0,0,0,0,0
45657,Foreland I,153,10.10762191,307.7841927,30.77841767,8.666791809,3.707635432,105.0468417,11.81776928,208.8297976,0,0,0,0,0,0
45688,Foreland I,153,10.01930202,305.5773307,30.55773128,8.535399369,3.68219471,104.3994333,11.74493576,208.335071,0,0,0,0,0,0
45716,Foreland I,153,9.932897039,303.4084671,30.34084482,8.407844253,3.65717034,103.7608866,11.67309899,207.8479409,0,0,0,0,0,0
45747,Foreland I,153,9.848327773,301.2761377,30.12761209,8.283962334,3.632542688,103.1307674,11.60221117,207.3680669,0,0,0,0,0,0
45777,Foreland I,153,9.765527625,299.1791252,29.91791063,8.163596769,3.60829974,102.5087898,11.53223845,206.8951748,0,0,0,0,0,0
45808,Foreland I,153,9.684432789,297.1163975,29.71163804,8.046598267,3.584429451,101.8947437,11.46315827,206.4290679,0,0,0,0,0,0
45838,Foreland I,153,9.604983242,295.0869698,29.50869515,7.9056149,3.5609205,101.288435,11.39494838,205.9251091,0,0,0,0,0,0
45869,Foreland I,153,9.527121503,293.0898992,29.30898842,7.795189622,3.537762326,100.6896766,11.32758854,205.4724172,0,0,0,0,0,0
45900,Foreland I,153,9.450793445,291.1241643,29.11241472,7.687734089,3.514944654,100.0982226,11.26104977,205.0259221,0,0,0,0,0,0
45930,Foreland I,153,9.375946781,289.1886007,28.91885801,7.556047456,3.492457467,99.51372142,11.1952932,204.5411013,0,0,0,0,0,0
45961,Foreland I,153,9.302532253,287.2821344,28.72821171,7.454421167,3.470291627,98.93586061,11.13028384,204.1065593,0,0,0,0,0,0
45991,Foreland I,153,9.230500911,285.4039836,28.54039672,7.355421119,3.448436593,98.36449041,11.06600488,203.677519,0,0,0,0,0,0
46022,Foreland I,153,9.159799947,283.5533933,28.35533741,7.258944665,3.426878042,97.79946888,11.00243972,203.2538354,0,0,0,0,0,0
46053,Foreland I,153,9.063259013,273.7920981,27.37920786,7.056620968,3.385262024,92.47813204,10.4037895,192.748782,0,0,0,0,0,0
46081,Foreland I,153,8.995338329,272.0352979,27.20352821,6.96589736,3.364456555,91.94987999,10.34436121,192.353172,0,0,0,0,0,0
46112,Foreland I,153,8.928613404,270.3035678,27.03035517,6.87739904,3.343915089,91.42733029,10.28557465,191.9623291,0,0,0,0,0,0
46142,Foreland I,153,8.863047441,268.5962059,26.85961887,6.791044723,3.323630894,90.91032693,10.22741133,191.5761177,0,0,0,0,0,0
46173,Foreland I,153,8.798602835,266.912592,26.69125768,6.706757703,3.303595517,90.39874719,10.16985875,191.1944309,0,0,0,0,0,0
46203,Foreland I,153,8.735240482,265.2521377,26.52521218,6.624464492,3.283798738,89.89248224,10.11290389,190.8171598,0,0,0,0,0,0
46234,Foreland I,153,8.640103927,260.3318612,26.03318456,6.453542749,3.239616333,87.42197549,9.834971663,182.2279199,0,0,0,0,0,0
46265,Foreland I,153,8.578982349,258.7335346,25.87335191,6.37557662,3.220407648,86.93651003,9.780357225,181.8669899,0,0,0,0,0,0
46295,Foreland I,153,8.518836072,257.1564823,25.7156465,6.299400699,3.201409486,86.45590701,9.726289124,181.5100822,0,0,0,0,0,0
46326,Foreland I,153,8.45962825,255.6002013,25.56001859,6.224954216,3.182610306,85.98006497,9.672756976,181.1571162,0,0,0,0,0,0
46356,Foreland I,153,8.40133126,254.0642084,25.40641929,6.152179298,3.16400454,85.50889766,9.619750827,180.8079999,0,0,0,0,0,0
46387,Foreland I,153,8.34391983,252.5479958,25.2547981,6.081019361,3.145588083,85.04229501,9.567258076,180.4626412,0,0,0,0,0,0
46418,Foreland I,153,8.287369852,251.0509293,25.10509139,6.01141721,3.127356759,84.58006448,9.515256688,180.1208777,0,0,0,0,0,0
46446,Foreland I,153,8.231657866,249.5725176,24.95725016,5.943320868,3.109306618,84.12208748,9.463734414,179.7826138,0,0,0,0,0,0
46477,Foreland I,153,8.176761643,248.1123063,24.81122906,5.876681826,3.091433825,83.66826846,9.412679917,179.4477659,0,0,0,0,0,0
46507,Foreland I,153,8.122656167,246.6697188,24.66697033,5.811453736,3.073732227,83.2184309,9.362073306,179.1161935,0,0,0,0,0,0
46538,Foreland I,153,8.069318427,245.2442862,24.52442693,5.747592299,3.056196413,82.77245689,9.311900839,178.7877976,0,0,0,0,0,0
46568,Foreland I,153,8.016728099,243.8350088,24.38349928,5.685054833,3.038822773,82.33004652,9.262129662,178.4623695,0,0,0,0,0,0
46599,Foreland I,153,7.964866368,242.4407014,24.24406882,5.623800375,3.021608132,81.89098835,9.212735797,178.1397471,0,0,0,0,0,0
46630,Foreland I,153,7.913714808,241.0610093,24.10609958,5.563789982,3.004549594,81.45522609,9.163712782,177.8198848,0,0,0,0,0,0
46660,Foreland I,153,7.863256134,239.6956478,23.96956328,5.504985582,2.987644228,81.02271896,9.115055468,177.5027285,0,0,0,0,0,0
