Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
44135,0.476391331,0.523608669,1,1,0,1,1,1,1,1,1,1
44165,0.469589126,0.530410874,1,1,0,1,1,1,1,1,1,1
44196,0.459576677,0.540423323,1,1,0,1,1,1,1,1,1,1
44227,0.455678315,0.544321685,1,1,0,1,1,1,1,1,1,1
44255,0.449709764,0.550290236,1,1,0,1,1,1,1,1,1,1
44286,0.444471193,0.555528807,1,1,0,1,1,1,1,1,1,1
44316,0.44921386,0.55078614,1,1,0,1,1,1,1,1,1,1
44347,0.445634976,0.554365024,1,1,0,1,1,1,1,1,1,1
44377,0.439151552,0.560848448,1,1,0,1,1,1,1,1,1,1
44408,0.43569295,0.56430705,1,1,0,1,1,1,1,1,1,1
44439,0.430749307,0.569250693,1,1,0,1,1,1,1,1,1,1
44469,0.4306627,0.5693373,1,1,0,1,1,1,1,1,1,1
44500,0.427495077,0.572504923,1,1,0,1,1,1,1,1,1,1
44530,0.42385054,0.57614946,1,1,0,1,1,1,1,1,1,1
44561,0.420173491,0.579826509,1,1,0,1,1,1,1,1,1,1
44592,0.416279057,0.583720943,1,1,0,1,1,1,1,1,1,1
44620,0.413234638,0.586765362,1,1,0,1,1,1,1,1,1,1
44651,0.403103808,0.596896192,1,1,0,1,1,1,1,1,1,1
44681,0.399547704,0.600452296,1,1,0,1,1,1,1,1,1,1
44712,0.397255649,0.602744351,1,1,0,1,1,1,1,1,1,1
44742,0.392746351,0.607253649,1,1,0,1,1,1,1,1,1,1
44773,0.389807807,0.610192193,1,1,0,1,1,1,1,1,1,1
44804,0.386288171,0.613711829,1,1,0,1,1,1,1,1,1,1
44834,0.383500533,0.616499467,1,1,0,1,1,1,1,1,1,1
44865,0.380145859,0.619854141,1,1,0,1,1,1,1,1,1,1
44895,0.377132578,0.622867422,1,1,0,1,1,1,1,1,1,1
44926,0.374483272,0.625516728,1,1,0,1,1,1,1,1,1,1
44957,0.371299681,0.628700319,1,1,0,1,1,1,1,1,1,1
44985,0.368791632,0.631208368,1,1,0,1,1,1,1,1,1,1
45016,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
